author	time	parents	message	sha	changes	additions	deletions	files
SiyavashGh	2020-02-28 20:26:02	['459b44cda42f671ade3a1a65b6d3253500f242b8']	minor additions addcredit5	0f6e3e440d6c091a4e1902565682f1a45b8d93b7	[3]	[2]	[1]	['src/class/main.cpp']	
SiyavashGh	2020-02-28 20:18:18	['91f197f0e0b32e13ef8efa56cacb87ecf903b1ee']	Run#7 addcredit1 fix	459b44cda42f671ade3a1a65b6d3253500f242b8	[1, 4, 1, 1, 1, 1, 7, 13]	[1, 2, 1, 1, 1, 1, 6, 8]	[0, 2, 0, 0, 0, 0, 1, 5]	['Tests/AddCredit/addCredit5/output.txt', 'specificTest.sh', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 19:17:23	['7a45c0d3088543663cf7ccce76a4dfefeca31e9e']	Run#7 addcredit4 fix and partial addcredit5 fix	91f197f0e0b32e13ef8efa56cacb87ecf903b1ee	[4, 11, 13, 13, 13, 3, 42]	[2, 3, 3, 3, 3, 3, 32]	[2, 8, 10, 10, 10, 0, 10]	['specificTest.sh', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 18:49:26	['b30b253647f9f5d1f60a371c48760113951b534c']	Run#7 addCredit3 fix	7a45c0d3088543663cf7ccce76a4dfefeca31e9e	[6, 21, 4]	[3, 6, 2]	[3, 15, 2]	['Tests/AddCredit/addCredit3/output.txt', 'Tests/AddCredit/addCredit3/testOutput.txt', 'specificTest.sh']	
SiyavashGh	2020-02-28 18:45:46	['b885f43f932446de4556090aa14f80682d6334f4']	Run#7 addcredit2 fix	b30b253647f9f5d1f60a371c48760113951b534c	[12, 4, 6]	[4, 2, 3]	[8, 2, 3]	['Tests/AddCredit/addCredit2/testOutput.txt', 'specificTest.sh', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 18:35:48	['21a04d21d58bf45f23d7d1bf959a4b8c97a899d7']	addcredit partial fixes run 7-not complete	b885f43f932446de4556090aa14f80682d6334f4	[2, 4, 4, 4]	[1, 3, 3, 3]	[1, 1, 1, 1]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp']	
SiyavashGh	2020-02-28 18:11:12	['aacd546268fab91b81a845bd3a7a6441985b34b0']	addcredit run#7 partial fix-not complete	21a04d21d58bf45f23d7d1bf959a4b8c97a899d7	[4, 2]	[2, 1]	[2, 1]	['specificTest.sh', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 18:05:58	['81194d4af4ba94b61f2f33988359e25747c7ae6d']	delete partial fix-not complete	aacd546268fab91b81a845bd3a7a6441985b34b0	[5]	[5]	[0]	['src/class/main.cpp']	
SiyavashGh	2020-02-28 17:57:47	['63b81534c81784b500a6983bb182f1438233efbe']	Run#7 delete5 fix	81194d4af4ba94b61f2f33988359e25747c7ae6d	[8, 7]	[2, 6]	[6, 1]	['Tests/DeleteUser/delete5/testOutput.txt', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 17:52:01	['680197d47eb1ea3541f578ed72d6b76ab2302964']	Create userType fix(not complete)	63b81534c81784b500a6983bb182f1438233efbe	[4, 15]	[2, 8]	[2, 7]	['specificTest.sh', 'src/class/main.cpp']	
SiyavashGh	2020-02-28 17:47:26	['ef53bf14e16dc7e930b0c0496298c26d9332c9ba']	Run#7 delete3 fix	680197d47eb1ea3541f578ed72d6b76ab2302964	[4]	[2]	[2]	['Tests/DeleteUser/delete3/output.txt']	
SiyavashGh	2020-02-28 17:01:28	['5f6da096d5013430bffee76c679656234d3ba1eb']	Run#7 delete2 fix	ef53bf14e16dc7e930b0c0496298c26d9332c9ba	[2]	[1]	[1]	['Tests/DeleteUser/delete2/output.txt']	
SiyavashGh	2020-02-28 16:57:54	['ebb6ff5ddd5079f7d58618ffb5896accb0588b07']	Run#7 delete1 fix	5f6da096d5013430bffee76c679656234d3ba1eb	[2]	[1]	[1]	['Tests/DeleteUser/delete1/transactionoutputs.txt']	
SiyavashGh	2020-02-27 22:07:12	['17974e8acabe38058ee27885987e92049879f884']	fixed test runner	ebb6ff5ddd5079f7d58618ffb5896accb0588b07	[6]	[3]	[3]	['testRunner.sh']	
SiyavashGh	2020-02-27 01:51:53	['4aa56aa4f4591fd3da774784cfa58db309abd825']	Run#7 advert4 fixes	17974e8acabe38058ee27885987e92049879f884	[77, 17]	[25, 15]	[52, 2]	['Tests/Advertise/advert4/testOutput.txt', 'src/class/main.cpp']	
SiyavashGh	2020-02-27 01:42:31	['4e4d38df7b9fdaf0ba6b1a348813ed9ba06da593']	Run#7 advert3 fixes	4aa56aa4f4591fd3da774784cfa58db309abd825	[59, 15]	[19, 12]	[40, 3]	['Tests/Advertise/advert3/testOutput.txt', 'src/class/main.cpp']	
SiyavashGh	2020-02-27 01:16:34	['caec5ae16a478967a1498ef9ab3f64cace49b7ae']	Run#7 advert2 changes	4e4d38df7b9fdaf0ba6b1a348813ed9ba06da593	[2, 2, 6]	[0, 0, 5]	[2, 2, 1]	['Tests/Advertise/advert2/input.txt', 'Tests/Advertise/advert2/output.txt', 'src/class/main.cpp']	
SiyavashGh	2020-02-27 01:09:59	['e5a4a699b7d86435cbe7ea4cd9a08f6bb7e8b559']	Run #7 advert1 fixes	caec5ae16a478967a1498ef9ab3f64cace49b7ae	[3, 6, 3, 4]	[2, 3, 2, 2]	[1, 3, 1, 2]	['Tests/Advertise/advert1/transactionoutputs.txt', 'src/class/TransactionCodeMaker.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-27 00:53:52	['5372a61e913021e5c39e600941457d805d1e71c0']	minor changes	e5a4a699b7d86435cbe7ea4cd9a08f6bb7e8b559	[3, 2]	[2, 1]	[1, 1]	['.vscode/settings.json', 'src/class/main.cpp']	
SiyavashGh	2020-02-27 00:19:44	['e412ac7c0837af92d3aa9ac77bfd31a0d546eaea']	Fixed run 7 addCredit 1	5372a61e913021e5c39e600941457d805d1e71c0	[22, 22, 22, 6]	[11, 11, 11, 3]	[11, 11, 11, 3]	['src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp']	
SiyavashGh	2020-02-27 00:06:56	['9e651113c71b2d4f322685cde0fe994b51212f19']	changes to checkusername	e412ac7c0837af92d3aa9ac77bfd31a0d546eaea	[40, 4, 6]	[40, 4, 3]	[0, 0, 3]	['specificTest.sh', 'src/class/main.cpp', 'testRunner.sh']	
SiyavashGh	2020-02-26 23:56:52	['195d1b4ae8af3123db130bccebb86c2ae1ab0be0', '7e924505732a114a4b276b0deb9f22894b97e95b']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	9e651113c71b2d4f322685cde0fe994b51212f19	[39, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]	[39, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	['TestResults/testTable.csv', 'Tests/AddCredit/addCredit2/output.txt', 'Tests/AddCredit/addCredit3/output.txt', 'Tests/AddCredit/addCredit4/output.txt', 'Tests/Advertise/advert2/output.txt', 'Tests/Advertise/advert3/output.txt', 'Tests/Advertise/advert4/output.txt', 'Tests/Advertise/advert5/output.txt', 'Tests/Bid/bid3/output.txt', 'Tests/Bid/bid4/output.txt', 'Tests/Bid/bid5/output.txt', 'Tests/Bid/bid6/output.txt', 'Tests/Bid/bid7/output.txt', 'Tests/CreateNewUser/NewUser5/output.txt', 'Tests/CreateNewUser/newUser2/output.txt', 'Tests/CreateNewUser/newUser3/output.txt', 'Tests/CreateNewUser/newUser4/output.txt', 'Tests/Login/login2/output.txt', 'Tests/Login/login3/output.txt', 'Tests/Login/login4/output.txt', 'Tests/Logout/logout2/output.txt']	
Colin-Shaw2	2020-02-26 23:54:26	['ca004bc696a0f61e6bd769a96abc01a29e399194']	added new lines to end of all files with out them	7e924505732a114a4b276b0deb9f22894b97e95b	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	['Tests/AddCredit/addCredit2/output.txt', 'Tests/AddCredit/addCredit3/output.txt', 'Tests/AddCredit/addCredit4/output.txt', 'Tests/Advertise/advert2/output.txt', 'Tests/Advertise/advert3/output.txt', 'Tests/Advertise/advert4/output.txt', 'Tests/Advertise/advert5/output.txt', 'Tests/Bid/bid3/output.txt', 'Tests/Bid/bid4/output.txt', 'Tests/Bid/bid5/output.txt', 'Tests/Bid/bid6/output.txt', 'Tests/Bid/bid7/output.txt', 'Tests/CreateNewUser/NewUser5/output.txt', 'Tests/CreateNewUser/newUser2/output.txt', 'Tests/CreateNewUser/newUser3/output.txt', 'Tests/CreateNewUser/newUser4/output.txt', 'Tests/Login/login2/output.txt', 'Tests/Login/login3/output.txt', 'Tests/Login/login4/output.txt', 'Tests/Logout/logout2/output.txt']	
Colin-Shaw2	2020-02-26 23:52:18	['614a0db36530510fa2634a841cce1c6c34501c7d', 'c676a5e07d026f75596a22ec83696819247ed63d']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	ca004bc696a0f61e6bd769a96abc01a29e399194	[]	[]	[]	[]	
Colin-Shaw2	2020-02-26 23:52:09	['45bfd663c1bbc20714dce268312c5265a6c1a76b']	more test fixes	614a0db36530510fa2634a841cce1c6c34501c7d	[4, 2, 1]	[2, 1, 1]	[2, 1, 0]	['TestResults/testTable.csv', 'src/class/TransactionCodeMaker.cpp', 'src/class/User.cpp']	
SiyavashGh	2020-02-26 23:48:03	['c676a5e07d026f75596a22ec83696819247ed63d']	minor changes	195d1b4ae8af3123db130bccebb86c2ae1ab0be0	[1]	[1]	[0]	['src/class/User.cpp']	
